"","医生类别 眼科医生 眼科医生 眼科医生 眼科医生 眼科医生","诊所名/医生名 Princeton Optometry University Children's Eye Center The Eye Center, Linda Zhang, John Lane Family Vision Center NJ Edison Eyecare & Vision Center","地址 211 N Harrison St, Princeton, NJ 08540 Bridgewater & East Brunswick 65 Mountain Blvd. Ext. Suite 105, Warren, NJ 07059 225 Hamilton St., Bound Brook, NJ 08805 1945 NJ-27 #2, Edison, NJ 08817","电话 609-921-6620 732-613-9191 732-356-1304 908-685-5900 732-543-0706","推荐时间 ","备注 可以开治疗近视的眼药水 可以开治疗近视的眼药水，但是不收眼科保险。 Linda Zhang 没一句废话， 不主动讲中文， 不拉家常， 不问寒问暖， 但有问必答。 这周边像Linda Zhang 这样学历， training 的眼科医生不多。 她当过clinical instructor, 所以知道怎样解释问题。  同一个诊所 Eye Center 的 Dr John Lane 很不错，跟他看了很多年 后来换到Edison Costco附近的一个夏医生，解决了问题，从此以后都在她家配眼镜",""
"","眼科医生","Dr. D, Eyecare professionals","1777 Kuser Rd, Hamilton Township, NJ 08690","(609) 581-5755","10/14/2019","OK镜","我儿子以前在这家做的，稍微远些，是朋友推荐的。去了以后就觉得那儿的医生真好，又推荐了几位朋友，大家都觉得那好，价格肯定比段昌敏那贵些。当时找的Doctor D，人非常好，说他仁心仁术毫不过分。那时Dr Lee新加入，也很好。他们是新州第1家做OK镜的。"
"","","","","","1/4/2021","OK镜","我儿子很小就戴OK lens，小孩近视不厉害的时候OK lens可以帮助，厉害了就没太大帮助。我们家孩子戴得早，所以控制得还好。"
"","","","","","3/19/2022","OK镜","这家诊所的Dr D医生做OK镜非常好，只是诊所有点远"
"","","","","","8/14/2022","OK镜","推荐Dr D 本群姐妹们推荐的 非常专业 费用在开始就说的很清楚"
"","","","","","8/14/2022","OK镜","我也推荐Dr. D.,我儿子9岁前近视发展挺快的，戴了OK镜，已经10年了，读书基本没变，只微调了一次，这10年只换了3-4次镜片（包括一次儿子把镜片丢了）"
"","","","","","8/14/2022","OK镜","OK镜同推荐Dr. D。他家诊所还会train孩子自己戴，父母特别省事。"
"","","","","","8/14/2022","","换Dr D吧，医德好，价格明了，我俩孩子都在那里看了10多年，现在也不愿意换其他医生，现在每年他们自己开车去看Dr D/Lee一次。"
"","","","","","7/11/2023","OK镜","OK镜推荐Dr. d，我们带了两年了，度数100左右再也没变过"
"","","","","","1/11/2024","OK镜","It's a bit far and pricey but they are good!"
"","","","","","2/2025","OK镜","我们家孩子配ok 镜的地方"
