"","类别 电工 电工 电工 电工 ","公司/老板名称 Rhodes Sons RichardElectric Inc. Sa Electrical Construction LLC Gabria ","电话号码 732-424-0600 732-489-3841 305-319-9580 ","网址/地址 SpurrElectric@aol.com ","邮箱 ","推荐时间 ","备注 BR群：桃之妖妖：local的电工，价格不错，事情也做得干净 BR小学群： YC：给大家推荐一个好的电工，这几年用过许多，满意的不多，这两个小伙子肯干，做工好且仔细，价格也合理，两个巴西的年轻人。 ","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","董师傅","732-543-5799","","","7/16/2022","董师傅服务号，每次电话必接，技术可靠。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","7/16/2022","董师傅技术好，去年给我换的空调和热水，做inspection的人说活干得非常好。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","7/24/2022","董师傅很好，一打电话就通了，下午就过来看问题。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","董师傅来了没做什么说这机器是好的不用修，拿了出门费走了，但毛病依旧，一会儿过后还是不转。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5/2/2024","","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Alex Wang","973-368-3977","","","","","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Arctic Air Conditioning","732-251-1111","www.arcticac.com","jscaglione@arcticac.com","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","9/9/2025","回来报告一下我们换空调和heater的公司Arctic Air。邻居推荐。做事效率高，全躺平服务。PSEG rebate啥的全帮我们搞好。sales person不pushing。他们是PSEG的contractor","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Benson, Ngai","732-599-9407","","mcairllc@gmail.com","7/7/2021","AC Air的Benson换空调可能快一些。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5/22/2022","我家用过，换了新的，他也修空调。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","12/16/2023","5年前换楼下的$4.7K，今年换楼上的$8.2K.","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Jack Dong","732-543-5799","","jackdonghvacllc@gmail.com","6/4/2021","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","7/7/2021","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","7/21/2022","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","10/14/2023","","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Fontaine Repair","732-369-3461","","","6/5/2021","可以这家询个价，个人更喜欢Costco","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Alex Wang","973-368-3977","","","7/7/2021","邻居上星期用过这家。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","8/26/2021","","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Costco","","","","3/13/2024","好像Costco有不错的program。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","3/13/2024","我家两三年前用Costco，二三月淡季换非常划算。Costco有多个contractors，报价不同，有的很黑。Henry in BACC群：Costco 732-492-9060","","","","","","","","","","","","","","","","","","","",""
"","","","","","","3/13/2024","","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","OxfordEnergystar","","","","3/29/2023","PSEG有discount。我家换两套空调暖气+热水器+attic sealing/insulation一共是18500，首付3500，其余在PSEG账单里扣，0利息十年付清。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","3/29/2023","我们几年前做过，只不过是另一家公司。当时价格接近两万。用的是High efficiency得设备。还完之后感觉很好，住着很舒服。应该是阁楼隔热的原因。每个月账单倒是没啥变化。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","6/1/2024","最近有个Oxford Energy公司上门看空调然后给quote可以帮你换空调，还有电力公司的loan。这个公司谁用过吗？靠谱吗？ 我当时没理，帮邻居问一下。他们给我领居的quote ：two zones 18000, 自付3000 再加上P&G的免息的15000 loan。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","6/12/2025","我们家最近就找PSEG更换家里的冷暖气系统，价格很公道，服务也很好！而且还是zero  downpayment 和未来六年免利息付清。","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Shamanski Heating & Cooling","908-543-HVAC","","","7/22/2022","中央空调York 2.5T $4000。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","6/1/2024","我去年冬天找了一家（像是俄国人）换HVAC, 近$6k, 祘是“吃螃蟹”吧","","","","","","","","","","","","","","","","","","","",""
"","空调暖气","Ben Lin ","917-364-9337","","","8/11/2025","跟他打过几次交道，人还不错。也是群里的闺蜜推荐的。感觉他不坑人，去年我有组织过邻居们换新空调，我家本来也想换，后来他来我家看了之后说加氟利昂看看能不能用，现在一年多了，空调还没有问题。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","8/11/2025","刚才群里朋友推荐的师傅来过我们家，感觉很靠谱，推荐一下。来了就直接解决问题，比他先来的PSEG我老公找的居然让我们直接换整个系统！再次感谢推荐。","","","","","","","","","","","","","","","","","","","",""
"","除蜂","Adptive Environmental","609-333-2847","customersupport@goaptive.com","","","","","","","","","","","","","","","","","","","","","","",""
"","除蜂","干湿吸尘器吸","","","","","","","","","","","","","","","","","","","","","","","","",""
"","除蜂","夜晚用保鲜膜封马蜂窝，用粘老鼠纸贴在马蜂窝出入口","","","","","","","","","","","","","","","","","","","","","","","","",""
"","除蜂","墙缝里喷粉末：Delta Dust Multi Use Pest Control Insecticide Dust","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Villa","848-667-6444","","","","","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Yamil","908-821-2205","plumbercarpenter@gmail.com","","","2023年 BR群Mindy：我们找了一个师傅，昨天刚把我家的水管修好了。服务非常好，价格也合理。","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Copper Head","732-560-8055","copperheadplumbing.com","","","2021年 James","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Izzy's Plumbing & Heating","732-452-9600","","","","2021年 James","","","","","","","","","","","","","","","","","","","",""
